vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
Car,False,1,decatur,GA,toledo,OH,677.9661016949153,400.0,0.59,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,taylor,MI,720.3389830508474,425.0,0.59,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tucker,GA,toledo,OH,673.0769230769231,350.0,0.52,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,austell,GA,belleville,MI,714.2857142857143,350.0,0.49,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,atlanta,GA,saline,MI,697.6744186046511,300.0,0.43000000000000005,0,0,0,1,0,0,0,0,0,0,0
SUV Mid-size,False,0,birmingham,AL,portland,OR,2558.139534883721,1100.0,0.43,0,0,0,0,0,0,0,0,0,0,0
Car,False,1,millbrook,AL,vancouver,WA,2682.9268292682927,1100.0,0.41,0,0,0,1,0,0,0,0,0,0,0
SUV Small,False,0,rockmart,GA,portland,OR,2651.5151515151515,875.0,0.33,0,0,0,0,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,vancouver,WA,2578.125,825.0,0.32,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,acworth,GA,gresham,OR,2583.3333333333335,775.0,0.3,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,fort payne,AL,stafford,TX,784.313725490196,400.0,0.51,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,huntsville,AL,sugar land,TX,800.0,400.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,florence,AL,houston,TX,714.2857142857143,350.0,0.49,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,fort payne,AL,houston,TX,795.4545454545455,350.0,0.44,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,birmingham,AL,houston,TX,694.4444444444445,250.0,0.36,0,0,0,0,0,1,0,0,0,0,0
Car,False,1,columbus,GA,houston,TX,739.1304347826086,340.0,0.46,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,montgomery,AL,houston,TX,652.1739130434783,300.0,0.46,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,phenix city,AL,houston,TX,731.7073170731708,300.0,0.41,0,0,0,1,0,0,0,0,0,0,0
