vehicles,in_operation,num_vehicles,origin,destination,price,miles
Car,0,1,"anaheim, CA","north highlands, CA",200,434.783
Car,0,1,"folsom, CA","rancho cucamonga, CA",200,444.444
Car,0,1,"northridge, CA","spring valley, CA",150,164.835
Pickup,1,1,"los angeles, CA","long beach, CA",50,20
Car,0,1,"sacramento, CA","fremont, CA",90,112.5
"Car, Car, Car, Car, Car",0,5,"rio linda, CA","newark, CA",500,574.713
Pickup,1,1,"san diego, CA","moreno valley, CA",300,103.093
Car,1,1,"north hollywood, CA","newark, CA",175,343.137
Car,0,1,"anaheim, CA","northridge, CA",75,64.1026
Car,0,1,"torrance, CA","mission viejo, CA",75,50
SUV,0,1,"temecula, CA","north highlands, CA",300,483.871
Car,1,1,"fremont, CA","wilmington, CA",175,380.435
Car,0,1,"gardena, CA","modesto, CA",250,337.838
Car,0,1,"long beach, CA","san jose, CA",225,362.903
Car,0,1,"van nuys, CA","anaheim, CA",125,51.0204
"Car, Car, Car",0,3,"riverside, CA","bakersfield, CA",255,455.357
SUV,1,1,"sacramento, CA","paramount, CA",175,397.727
"Car, Car, Car, Car, Car, Car, Car, Car, Car",0,9,"mira loma, CA","fresno, CA",1215,2700
Car,0,1,"Sacramento, CA","Arcata, CA",300,322.581
Car,0,1,"anaheim, CA","elk grove, CA",200,400
Car,0,1,"san diego, CA","sacramento, CA",300,508.475
Car,0,1,"riverside, CA","palo alto, CA",250,409.836
Car,0,1,"hacienda heights, CA","bakersfield, CA",100,116.279
"Car, Car, Car, Car, Car, Pickup, SUV",0,7,"mira loma, CA","fresno, CA",945,1890
Car,0,1,"gardena, CA","irvine, CA",70,41.9162
"Car, Car",0,2,"sacramento, CA","fremont, CA",200,224.719
Car,0,1,"san diego, CA","fair oaks, CA",270,519.231
Car,1,1,"glendale, CA","concord, CA",345,363.158
"Pickup, Pickup",0,2,"tracy, CA","la mesa, CA",1050,897.436
Other,0,1,"los angeles, CA","murrieta, CA",300,90.9091
SUV,0,1,"rancho cucamonga, CA","visalia, CA",200,227.273
SUV,0,1,"tracy, CA","paso robles, CA",200,206.186
Pickup,0,1,"san diego, CA","los altos hills, CA",390,487.5
Car,1,1,"los osos, CA","carson, CA",250,219.298
Car,1,1,"los angeles, CA","wilmington, CA",75,23.9617
SUV,0,1,"hayward, CA","south san francisco, CA",200,28.9855
Car,0,1,"north hollywood, CA","anaheim, CA",85,52.1472
Car,0,1,"north hollywood, CA","santa ana, CA",120,54.0541
"Car, Car, Car, Car, Car, Car, Car, Car",0,8,"riverside, CA","sacramento, CA",1280,3459.46
Car,0,1,"sunnyvale, CA","san diego, CA",300,461.538
Car,0,1,"escondido, CA","la mirada, CA",100,87.7193
SUV,1,1,"rancho cucamonga, CA","commerce, CA",75,48.0769
SUV,0,1,"reno, NV","lafayette, CA",300,208.333
Car,0,1,"clovis, CA","richmond, CA",250,198.413
Van,0,1,"hayward, CA","commerce, CA",175,372.34
Other,0,1,"burlingame, CA","pasadena, CA",100,384.615
Pickup,1,1,"sacramento, CA","gardena, CA",150,394.737
Car,0,1,"los angeles, CA","lake elsinore, CA",75,78.125
Van,0,1,"mira loma, CA","gardena, CA",125,55.0661
Other,0,1,"anaheim, CA","capitola, CA",200,370.37
Car,0,1,"carson, CA","san diego, CA",110,114.583
Sedan Small,1,1,"oxnard, CA","cypress, CA",200,82.9876
Car,0,1,"san martin, CA","lake forest, CA",200,363.636
SUV,0,1,"fremont, CA","fontana, CA",200,408.163
Car,0,1,"san diego, CA","anaheim, CA",100,112.36
"Car, Car, Car",0,3,"anaheim, CA","corte madera, CA",750,1271.19
Car,0,1,"north hills, CA","port hueneme, CA",125,51.0204
Other,0,1,"costa mesa, CA","san jose, CA",200,377.358
SUV,0,1,"tracy, CA","san diego, CA",250,454.545
"SUV, SUV",0,2,"san diego, CA","daly city, CA",600,1016.95
Car,0,1,"corona, CA","bakersfield, CA",90,155.172
Car,0,1,"gardena, CA","corona, CA",80,55.9441
Car,0,1,"woodland, CA","hayward, CA",85,100
"Car, SUV, SUV, SUV",0,4,"riverside, CA","corte madera, CA",1050,1779.66
SUV,0,1,"oceano, CA","el monte, CA",200,190.476
"Car, Car",0,2,"tracy, CA","riverside, CA",350,760.87
Car,0,1,"el cajon, CA","costa mesa, CA",125,96.1538
Car,0,1,"riverside, CA","anaheim, CA",85,25.9939
Car,1,1,"los angeles, CA","wilmington, CA",75,17.0068
Car,0,1,"fontana, CA","san leandro, CA",250,409.836
Pickup,0,1,"san jose, CA","placentia, CA",200,363.636
SUV,0,1,"elk grove, CA","san diego, CA",250,490.196
Car,0,1,"bakersfield, CA","santa monica, CA",150,126.05
Car,0,1,"menlo park, CA","valencia, CA",200,327.869
Car,0,1,"oceano, CA","el monte, CA",300,191.083
"Car, Car, Car, Car, SUV",0,5,"hayward, CA","modesto, CA",275,343.75
Van,0,1,"whittier, CA","redding, CA",600,566.038
Car,0,1,"culver city, CA","san diego, CA",150,129.31
Car,0,1,"moraga, CA","ventura, CA",250,384.615
SUV,0,1,"glendale, CA","port hueneme, CA",100,62.1118
Car,0,1,"garden grove, CA","fresno, CA",131,262
SUV,0,1,"san diego, CA","yuba city, CA",425,537.975
Car,0,1,"san carlos, CA","richmond, CA",175,39.9543
Car,0,1,"venice, CA","san diego, CA",100,121.951
Pickup,0,1,"san diego, CA","brentwood, CA",370,462.5
SUV,0,1,"norwalk, CA","san jose, CA",225,357.143
Car,0,1,"newark, CA","irvine, CA",200,400
"Car, Car, Car",0,3,"mira loma, CA","oxnard, CA",180,321.429
Car,0,1,"los angeles, CA","riverside, CA",100,64.9351
SUV Large,0,1,"la habra, CA","weed, CA",500,641.026
Pickup,0,1,"encinitas, CA","la mirada, CA",100,81.3008
"Pickup, Van",0,2,"pomona, CA","irvine, CA",300,77.9221
Car,0,1,"hayward, CA","apple valley, CA",175,416.667
Car,0,1,"fremont, CA","santa ana, CA",200,400
Car,0,1,"fontana, CA","pomona, CA",85,22.0207
